Ticker,horizon_bucket,long_or_short,next_flag,Bias,Entry Zone,Invalidation,Target,Holding Window,Macro Aligned?,macro_explanation,entry_mid,rr_score,ev_score,route,why_now,why_not_yet,detail_kind,current_price,raw_states,EV+ / R:R
AMRT.JK,next_play,Short,1,Bullish Short,77.4573 - 76.9419,79.2342,72.3634,belum siap sekarang,Yes,"IHSG sensitif ke USD/IDR, SBN yield, foreign flow, breadth, heavyweights, dan EM rotation.",76.94193642572762,2.0,2.0,"If current regime persists: stay with WTI, XAUUSD, IHSG",,"Arah besar masih cocok untuk short, tapi butuh rally/failure dulu supaya entry tidak telat.",next_play,76.4892,S:bullish M:bullish L:improving,2.00 / 2.00
LSIP.JK,next_play,Short,1,Bullish Short,289.4322 - 285.3869,294.7129,268.7078,belum siap sekarang,Yes,"IHSG sensitif ke USD/IDR, SBN yield, foreign flow, breadth, heavyweights, dan EM rotation.",285.386937108284,1.79,1.79,"If current regime persists: stay with WTI, XAUUSD, IHSG",,"Arah besar masih cocok untuk short, tapi butuh rally/failure dulu supaya entry tidak telat.",next_play,287.5893,S:bullish M:bullish L:improving,1.79 / 1.79
ACES.JK,next_play,Short,1,Mixed Short,252.7662 - 245.6473,254.1052,233.9709,belum siap sekarang,Yes,"IHSG sensitif ke USD/IDR, SBN yield, foreign flow, breadth, heavyweights, dan EM rotation.",245.64731146851187,1.38,1.38,"If current regime persists: stay with WTI, XAUUSD, IHSG",,"Arah besar masih cocok untuk short, tapi butuh rally/failure dulu supaya entry tidak telat.",next_play,244.8368,S:mixed M:bullish L:improving,1.38 / 1.38
